username,contraseña,gmail,fecha_creacion,rol,codigo_empleado,cod_estado_usuario
jstreat0,bH7`1U5A2D#{PSc0,tgiovanitti0@microsoft.com,1/01/2022,Administrador,26,2
fpidgeley1,kM1&=?HEMzVl.$?v,tmerrell1@purevolume.com,22/02/2020,Administrador,10,2
sfozard2,wF6'Z|AphC,lbriskey2@mysql.com,24/05/2024,empleado simple,65,3
vjessopp3,eD2\eS*B@'|i}5f,oivain3@unicef.org,31/12/2020,empleado simple,3,3
hsaunderson4,vW6{\}94`h.m,plortz4@shutterfly.com,4/04/2023,empleado simple,90,2
htessington5,"uN2/kf,x0qIg)GS",ewhittet5@pen.io,25/03/2023,empleado simple,60,3
mroget6,xR7#C*4qrn)~%z,hsigars6@tmall.com,13/05/2024,empleado simple,58,3
bnana7,fY2~3E\8~h,kcherryholme7@pen.io,13/08/2024,empleado simple,43,2
gbullen8,xL8{PB5.66,mcheesworth8@mayoclinic.com,21/08/2019,Administrador,20,3
garnall9,zX6|!>7SXW`VPS,rmallinson9@gmpg.org,21/11/2021,Administrador,36,2
wcroisiera,fV6)Ev\AK=gbBIE,hbeasanta@blog.com,25/05/2022,empleado simple,54,2
msandcroftb,mM2\%e9B~BN,dbeartb@ustream.tv,14/03/2024,Administrador,9,1
messlemontc,"sV7""s#WUj9I",dkerridgec@goodreads.com,29/01/2024,Administrador,72,3
cbrenneked,sR8('6&wI05Gp?A,gcloverd@alibaba.com,26/02/2022,Administrador,15,3
mlosekee,aW0+bzEW4%dlk,rhorrigane@bbb.org,21/01/2020,empleado simple,49,1
clanderf,zM1}v_aC,kjojicf@51.la,31/12/2020,empleado simple,26,2
cferrerg,jC1/ulJMu{X.%%,cveitchg@baidu.com,23/11/2020,empleado simple,67,2
mheidenh,eR0~g1kej}_=P,lmcteerh@google.nl,18/02/2020,empleado simple,92,3
mbuesneli,gM5}{B{Rx`s,icloakei@rediff.com,20/06/2021,Administrador,14,3
lroggerj,"yY2$l""F\F",areynishj@wp.com,2/11/2024,Administrador,54,3
pbenitezk,"rC5(}+H.""J",csymmersk@admin.ch,23/07/2023,empleado simple,15,3
lkarolewskil,"tC6*2OJ`""j",aliversedgel@nih.gov,11/02/2024,empleado simple,61,3
kvanaccim,"wI0&ZnxoC""s~",cnevinsonm@umich.edu,6/05/2020,Administrador,45,1
jinglesfieldn,qH7$fLS++,nguitten@newsvine.com,23/02/2021,empleado simple,27,3
pjurisico,aW7#2+59b?_\=,ffinko@dmoz.org,28/12/2018,empleado simple,10,2
sfarrap,hU8&n4*2T,jraffeortyp@csmonitor.com,28/07/2023,empleado simple,62,2
ebaptistq,nW6_CG8O%0Z%>|,jsaillq@rediff.com,14/05/2019,empleado simple,30,1
lfraysr,gY9?9FmP!,wromker@live.com,2/04/2023,empleado simple,28,2
bdoods,zG2+de39qF#`,jvasechkins@skype.com,29/05/2021,empleado simple,60,2
mdavsont,iN8}u@=#AIRM\g,abeethamt@mozilla.com,19/08/2020,Administrador,16,2
gvernau,wX9%8e{*%o,cnodenu@wix.com,4/12/2022,empleado simple,51,3
jhamev,sD1>JZEMb),kblewmenv@cloudflare.com,4/10/2021,Administrador,4,3
probbelw,"tH5}?3_WK""b(",sbeckinghamw@wufoo.com,1/06/2023,empleado simple,10,2
pibbisonx,yL1*+~9rL,yarnoudx@elpais.com,11/03/2020,empleado simple,21,2
tsmalmany,zE9~3b>U@YE<l,psorrilly@google.de,25/05/2021,empleado simple,60,3
oaldrickz,"wX3>dvvvg,J",tgoutz@reuters.com,23/10/2019,empleado simple,16,1
tbrimilcome10,fM8.'}|X_(9e,pkira10@myspace.com,24/10/2021,Administrador,80,3
bgrahlmans11,jM9?!S3nMA1,lmerredy11@google.ca,8/10/2019,empleado simple,79,2
ppittway12,iT3?=AjB1Gf,qguerriero12@soup.io,5/05/2023,empleado simple,98,3
lchitham13,gI8$8_?Ws2B\n2%,kbowhey13@cloudflare.com,10/06/2024,Administrador,82,1
rgiacovazzo14,qC2*kwXeEZ,dscourfield14@acquirethisname.com,11/01/2023,empleado simple,36,1
ajosse15,eW0~)qnei%28qW,jsymers15@dailymail.co.uk,30/12/2020,Administrador,24,2
ssapsed16,bN8%'dl%X90\@L$,mmatteucci16@histats.com,23/04/2024,empleado simple,83,2
kberrey17,"sX5""!mNdA3boBfhl",hmandrier17@mayoclinic.com,22/08/2021,Administrador,18,2
ssign18,rC9|GN4t,ccoopey18@psu.edu,12/12/2019,Administrador,37,3
pcragg19,rJ3?Re?PAcHzVU,hmorey19@vimeo.com,27/06/2019,Administrador,76,1
awalden1a,mS9<%oTE.,dhumphrey1a@chronoengine.com,12/03/2019,empleado simple,49,2
mmeric1b,dD1(+Sa+vN,lnoads1b@utexas.edu,17/03/2019,Administrador,55,1
cjarmain1c,sB9}qTni+,agonzalez1c@bloomberg.com,13/09/2022,empleado simple,40,2
mcrawcour1d,"pS7/&Kpz@d3T""N",amacellar1d@spiegel.de,18/02/2024,Administrador,22,3
