"cod_usuario","username","contraseña","gmail","fecha_creacion","rol","codigo_empleado","cod_estado_usuario"
1,jstreat0,bH7`1U5A2D#{PSc0,tgiovanitti0@microsoft.com,2022-01-01,Administrador,26,2
2,fpidgeley1,kM1&=?HEMzVl.$?v,tmerrell1@purevolume.com,2020-02-22,Administrador,10,2
3,sfozard2,wF6'Z|AphC,lbriskey2@mysql.com,2024-05-24,empleado simple,65,3
4,vjessopp3,eD2\eS*B@'|i}5f,oivain3@unicef.org,2020-12-31,empleado simple,3,3
5,hsaunderson4,vW6{\}94`h.m,plortz4@shutterfly.com,2023-04-04,empleado simple,90,2
6,htessington5,"uN2/kf,x0qIg)GS",ewhittet5@pen.io,2023-03-25,empleado simple,60,3
7,mroget6,xR7#C*4qrn)~%z,hsigars6@tmall.com,2024-05-13,empleado simple,58,3
8,bnana7,fY2~3E\8~h,kcherryholme7@pen.io,2024-08-13,empleado simple,43,2
9,gbullen8,xL8{PB5.66,mcheesworth8@mayoclinic.com,2019-08-21,Administrador,20,3
10,garnall9,zX6|!>7SXW`VPS,rmallinson9@gmpg.org,2021-11-21,Administrador,36,2
11,wcroisiera,fV6)Ev\AK=gbBIE,hbeasanta@blog.com,2022-05-25,empleado simple,54,2
12,msandcroftb,mM2\%e9B~BN,dbeartb@ustream.tv,2024-03-14,Administrador,9,1
13,messlemontc,"sV7""s#WUj9I",dkerridgec@goodreads.com,2024-01-29,Administrador,72,3
14,cbrenneked,sR8('6&wI05Gp?A,gcloverd@alibaba.com,2022-02-26,Administrador,15,3
15,mlosekee,aW0+bzEW4%dlk,rhorrigane@bbb.org,2020-01-21,empleado simple,49,1
16,clanderf,zM1}v_aC,kjojicf@51.la,2020-12-31,empleado simple,26,2
17,cferrerg,jC1/ulJMu{X.%%,cveitchg@baidu.com,2020-11-23,empleado simple,67,2
18,mheidenh,eR0~g1kej}_=P,lmcteerh@google.nl,2020-02-18,empleado simple,92,3
19,mbuesneli,gM5}{B{Rx`s,icloakei@rediff.com,2021-06-20,Administrador,14,3
20,lroggerj,"yY2$l""F\F",areynishj@wp.com,2024-11-02,Administrador,54,3
21,pbenitezk,"rC5(}+H.""J",csymmersk@admin.ch,2023-07-23,empleado simple,15,3
22,lkarolewskil,"tC6*2OJ`""j",aliversedgel@nih.gov,2024-02-11,empleado simple,61,3
23,kvanaccim,"wI0&ZnxoC""s~",cnevinsonm@umich.edu,2020-05-06,Administrador,45,1
24,jinglesfieldn,qH7$fLS++,nguitten@newsvine.com,2021-02-23,empleado simple,27,3
25,pjurisico,aW7#2+59b?_\=,ffinko@dmoz.org,2018-12-28,empleado simple,10,2
26,sfarrap,hU8&n4*2T,jraffeortyp@csmonitor.com,2023-07-28,empleado simple,62,2
27,ebaptistq,nW6_CG8O%0Z%>|,jsaillq@rediff.com,2019-05-14,empleado simple,30,1
28,lfraysr,gY9?9FmP!,wromker@live.com,2023-04-02,empleado simple,28,2
29,bdoods,zG2+de39qF#`,jvasechkins@skype.com,2021-05-29,empleado simple,60,2
30,mdavsont,iN8}u@=#AIRM\g,abeethamt@mozilla.com,2020-08-19,Administrador,16,2
31,gvernau,wX9%8e{*%o,cnodenu@wix.com,2022-12-04,empleado simple,51,3
32,jhamev,sD1>JZEMb),kblewmenv@cloudflare.com,2021-10-04,Administrador,4,3
33,probbelw,"tH5}?3_WK""b(",sbeckinghamw@wufoo.com,2023-06-01,empleado simple,10,2
34,pibbisonx,yL1*+~9rL,yarnoudx@elpais.com,2020-03-11,empleado simple,21,2
35,tsmalmany,zE9~3b>U@YE<l,psorrilly@google.de,2021-05-25,empleado simple,60,3
36,oaldrickz,"wX3>dvvvg,J",tgoutz@reuters.com,2019-10-23,empleado simple,16,1
37,tbrimilcome10,fM8.'}|X_(9e,pkira10@myspace.com,2021-10-24,Administrador,80,3
38,bgrahlmans11,jM9?!S3nMA1,lmerredy11@google.ca,2019-10-08,empleado simple,79,2
39,ppittway12,iT3?=AjB1Gf,qguerriero12@soup.io,2023-05-05,empleado simple,98,3
40,lchitham13,gI8$8_?Ws2B\n2%,kbowhey13@cloudflare.com,2024-06-10,Administrador,82,1
41,rgiacovazzo14,qC2*kwXeEZ,dscourfield14@acquirethisname.com,2023-01-11,empleado simple,36,1
42,ajosse15,eW0~)qnei%28qW,jsymers15@dailymail.co.uk,2020-12-30,Administrador,24,2
43,ssapsed16,bN8%'dl%X90\@L$,mmatteucci16@histats.com,2024-04-23,empleado simple,83,2
44,kberrey17,"sX5""!mNdA3boBfhl",hmandrier17@mayoclinic.com,2021-08-22,Administrador,18,2
45,ssign18,rC9|GN4t,ccoopey18@psu.edu,2019-12-12,Administrador,37,3
46,pcragg19,rJ3?Re?PAcHzVU,hmorey19@vimeo.com,2019-06-27,Administrador,76,1
47,awalden1a,mS9<%oTE.,dhumphrey1a@chronoengine.com,2019-03-12,empleado simple,49,2
48,mmeric1b,dD1(+Sa+vN,lnoads1b@utexas.edu,2019-03-17,Administrador,55,1
49,cjarmain1c,sB9}qTni+,agonzalez1c@bloomberg.com,2022-09-13,empleado simple,40,2
50,mcrawcour1d,"pS7/&Kpz@d3T""N",amacellar1d@spiegel.de,2024-02-18,Administrador,22,3
